Camera ID,Stream URL,Timestamp,License Plate,Raw OCR Text,Detection Confidence,OCR Confidence,Speed KMH,Threat Level
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:25:02Z,GJ06AO3691,GJ06AO3691,0.80,0.00,111.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:25:18Z,GJ06JY6893,GJ06JY6893,0.79,0.00,104.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:25:33Z,GJ06SP1141,GJ06SP1141,0.79,0.00,87.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:25:51Z,GJ06EO1091,GJ06EO1091,0.79,0.00,113.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:26:08Z,GJ06UM1811,GJ06UM1811,0.80,0.00,94.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:26:22Z,GJ06LU2616,GJ06LU2616,0.81,0.00,99.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:26:39Z,GJ06UG3181,GJ06UG3181,0.79,0.00,94.0,HIGH
cam06,rtsp://103.250.160.189:8554/stream/cam06,2026-09-04T15:26:58Z,GJ06SX9465,GJ06SX9465,0.79,0.00,87.0,HIGH
cam02,rtsp://103.250.160.189:8554/stream/cam02,2026-09-04T15:27:49Z,GJ31G,GJ31G,0.20,0.14,83.0,HIGH
cam02,rtsp://103.250.160.189:8554/stream/cam02,2026-09-04T15:28:07Z,MLG,MLG,0.22,0.05,98.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:28:59Z,GJ14KT1307,GJ14KT1307,0.54,0.00,95.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:09Z,GJ14AE8121,GJ14AE8121,0.43,0.00,106.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:18Z,GJ14AL4461,GJ14AL4461,0.53,0.00,83.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:24Z,GJ14LL3467,GJ14LL3467,0.72,0.71,101.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:30Z,GJ14AR6640,GJ14AR6640,0.61,0.00,94.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:36Z,GJ14FP8822,GJ14FP8822,0.62,0.12,103.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:45Z,GJ14RQ5382,GJ14RQ5382,0.83,0.00,116.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:29:53Z,GJ14SB3801,GJ14SB3801,0.68,0.00,98.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:03Z,GJ14LX3163,GJ14LX3163,0.69,0.00,116.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:13Z,GJ14HX7928,GJ14HX7928,0.52,0.00,92.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:23Z,GJ14YN7513,GJ14YN7513,0.73,0.00,91.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:34Z,GJ14AS8448,GJ14AS8448,0.76,0.00,82.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:41Z,GJ14BV1693,GJ14BV1693,0.74,0.00,83.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:48Z,GJ14ZK2961,GJ14ZK2961,0.74,0.00,97.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:30:56Z,GJ14EM1430,GJ14EM1430,0.64,0.00,105.0,HIGH
cam14,rtsp://103.250.160.189:8554/stream/cam14,2026-09-04T15:31:02Z,GJ14FY3808,GJ14FY3808,0.58,0.00,96.0,HIGH
